variant,param,sample,n_vars,n_clauses,encode_s,bootstrap_s,solve_s,wall_s,sat,conflicts,decisions,propagations,restarts,witness_hex,timeout,extra
A,10,0,31999,108630,0.0163963750237599,0.03457958297803998,2.4049738330068067,2.5180767080164514,True,2093,10488,20582808,107,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=18,37,61,144,170,189,266,292,353,355"
A,10,1,30556,103823,0.017610332986805588,0.034005749970674515,1.6455156670417637,1.7605340839945711,True,1961,5831,14931799,143,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=75,148,213,237,350,366,392,398,404,407"
A,10,2,31166,105853,0.015998874965589494,0.03401933301938698,0.688130916969385,0.8016462500090711,True,925,2480,8240257,199,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=7,109,116,184,186,242,257,311,313,379"
A,10,3,31562,107164,0.016264625010080636,0.034348040993791074,1.5893803340150043,1.7033515839721076,True,1931,5072,15801987,146,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=12,44,50,118,152,193,213,232,253,405"
A,10,4,31174,105879,0.016280791955068707,0.03468687500571832,2.696844250021968,2.810399750014767,True,7071,34310,22805058,502,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=22,143,191,195,276,313,334,376,387,396"
A,10,5,32366,109850,0.016936708998400718,0.03505183302331716,1.2609487079898827,1.3790134169976227,True,2695,11369,11134382,93,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=1,22,75,77,111,122,281,300,304,312"
A,10,6,31733,107744,0.01672004204010591,0.035178666992578655,1.8875366249703802,2.00516850000713,True,2136,7288,16966497,120,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=8,65,117,134,170,173,174,184,185,335"
A,10,7,31513,107016,0.016261416021734476,0.0342974589439109,1.4846263750223443,1.598786749993451,True,2457,6137,14012025,137,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=55,104,105,108,112,158,159,245,320,394"
A,12,0,31630,107383,0.016761250037234277,0.0351200409932062,2.3401428749784827,2.455786790989805,True,9296,57198,18062328,709,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=73,93,116,140,162,215,231,275,276,325,368,407"
A,12,1,31598,107281,0.016660041990689933,0.035332500003278255,1.7562532919691876,1.8725663340301253,True,1719,6201,14685144,152,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=11,70,78,163,194,207,209,233,277,324,333,348"
A,12,2,32393,109934,0.016516500036232173,0.03497537499060854,0.2953786659636535,0.4145808750181459,True,721,3203,3574004,67,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=4,18,52,77,88,98,101,181,289,366,398,406"
A,12,3,32777,111218,0.016529457992874086,0.0361691250000149,6.269545749993995,6.3860165840014815,True,15447,43387,46842448,498,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=15,18,99,112,128,136,215,223,262,316,361,363"
A,12,4,32037,108743,0.016825416998472065,0.03489725000690669,2.6308332909829915,2.7475672920118086,True,6161,37722,20995110,467,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=3,27,43,66,96,106,207,229,252,261,307,326"
A,12,5,31563,107169,0.01628087501740083,0.03487420902820304,5.51833520794753,5.632794125005603,True,7873,33793,45223202,288,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=31,96,101,106,115,155,187,194,223,287,351,364"
A,12,6,31703,107635,0.016338084009476006,0.034942166006658226,7.950659916969016,8.067761707992759,True,20733,44831,60276961,519,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=5,16,70,118,124,184,233,310,328,341,355,360"
A,12,7,32080,108887,0.01652841700706631,0.035936790984123945,0.08187608403386548,0.20198558300035074,True,729,2997,933554,75,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=30,61,81,137,153,194,266,273,337,347,399,406"
A,14,0,30987,105256,0.016245875041931868,0.034170083003118634,25.06358520797221,25.216765332967043,True,50172,110955,183144344,966,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=76,106,136,151,152,188,223,250,253,264,269,291,315,381"
A,14,1,31969,108514,0.016489333007484674,0.03505366697208956,3.6725674999761395,3.7863155000377446,True,10367,38490,26270172,693,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=21,53,75,92,93,112,119,194,222,271,331,332,339,346"
A,14,2,32158,109138,0.016626166994683444,0.03593574999831617,32.20524779200787,32.325197500002105,True,90700,288114,237423728,3370,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=7,31,70,72,77,78,84,87,187,192,290,298,379,403"
A,14,3,32763,111162,0.016830333042889833,0.035980124957859516,10.121700624993537,10.25975212501362,True,30416,93083,76528867,1432,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=17,22,41,47,57,75,142,155,178,239,272,274,321,370"
A,14,4,32027,108716,0.016925666015595198,0.036542334011755884,19.890119749994483,20.02918579202378,True,50573,113097,142420637,1268,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=22,56,57,78,96,112,192,196,238,252,264,360,362,385"
A,14,5,32326,109697,0.016755291959270835,0.03570216702064499,16.179904958000407,16.316535167046823,True,45240,106843,115498064,1545,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=14,47,58,87,120,171,197,223,234,241,267,290,365,386"
A,14,6,31367,106517,0.016401417029555887,0.035377874970436096,17.638951500004623,17.75614895898616,True,43339,104691,128746115,1806,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=79,96,109,141,146,170,183,185,243,261,276,342,354,359"
A,14,7,32588,110578,0.016684832982718945,0.035927875025663525,33.70698449999327,33.84387095895363,True,78531,165196,244503080,1764,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=9,18,38,54,74,93,134,175,193,245,318,327,364,383"
A,16,0,32706,110969,0.016816832998301834,0.036164249991998076,14.380578959011473,14.499774041993078,True,40681,114173,106265170,1864,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=18,19,32,75,134,163,191,193,195,224,267,324,350,361,381,402"
A,16,1,32143,109100,0.016752791008912027,0.03555429202970117,43.953638041974045,44.07222000003094,True,108472,306226,322408744,5579,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=51,56,61,69,92,118,126,131,182,230,242,291,306,324,353,360"
A,16,2,32606,110636,0.016864542034454644,0.03635562496492639,100.52277650003089,100.64357970905257,True,210880,478085,632853286,6681,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=3,24,33,72,77,90,94,171,195,243,272,275,278,326,338,343"
A,16,3,32194,109261,0.016829916974529624,0.0357522499980405,86.5225939580123,86.64377429196611,True,221504,533552,550585529,5216,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=22,57,76,88,113,117,131,136,142,150,190,247,364,370,387,394"
A,16,4,32564,110503,0.016828250023536384,0.03566866699839011,11.840692874975502,11.95873308298178,True,41137,115870,84463614,1553,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=23,32,35,37,51,74,152,187,234,269,282,308,313,334,395,397"
A,16,5,31734,107723,0.016906250035390258,0.03498574998229742,62.135827207996044,62.253955624997616,True,169649,391815,418491590,4837,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=38,45,49,50,81,90,140,144,146,252,256,276,301,326,344,399"
A,16,6,32108,108980,0.016725666006095707,0.03555058396887034,69.27375895803561,69.39415800001007,True,147752,352225,498971608,6941,54686520717569636b2062726f776e20666f78206a756d7073206f76657220746865206c617a7920646f672e206d6435736174,False,"free_positions=3,58,62,147,176,180,182,201,208,213,267,297,320,354,355,392"
